"c_resid","geo",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"FOR","AT",74730956,72224605,72585976,73647325,77158431,78433546,78099096,80304956,83398372,86044321,89293784,91386215
"FOR","BE",16360702,15451017,16169676,16723867,16432646,16511721,17068872,18852087,17063194,18656843,20564683,21204838
"FOR","BG",11791454,9460922,10547112,12426723,13451440,14370426,14077798,13352281,16150666,17105567,17748925,17479846
"FOR","CH",":",":",":",":",":",":",":",":",23982739,":",":",":"
"FOR","CY",13208954,11666663,12448158,13112596,13488127,13152589,12884399,12550320,14504702,15946809,16247342,16561115
"FOR","CZ",19987022,17746893,18365947,19424839,21793985,22144896,22110112,23286515,24268149,26257013,26760021,27180563
"FOR","DE",56239679,54096574,59658760,63081467,68161503,71191942,74805253,78827773,79946914,83111219,86961856,89260847
"FOR","DK",8918197,8299403,8981992,9491137,9608124,9914273,10608119,11171416,11630004,11914787,12594611,12976570
"FOR","EA",835703617,784438964,809995153,873097374,883200897,":",958037547,995141433,1040145132,1105036477,1149542430,1162526351
"FOR","EE",2932662,2740696,3203721,3748865,3823039,3909326,3919299,3770207,4014581,4150419,4174552,4375637
"FOR","EL",47973949,56515414,58147769,64229570,61054383,68992640,80174274,85164063,87912850,97034421,118876323,119971390
"FOR","ES",223756216,200551728,213349649,239369167,243389006,252447766,259635794,269418103,294556428,305907462,301022634,299091409
"FOR","EU27_2007",991887781,934348499,972562690,1041382973,1076478856,1132214059,1160480867,1363394666,1419837607,1512900870,1567733056,1593929916
"FOR","EU27_2020",947775646,889327336,921187045,988890043,1028103295,":",1107272985,1153427648,1212449118,1292044316,1343861134,1359972917
"FOR","EU28",1025639028,967707431,1005797572,1076801865,1133558823,1191592955,1225353795,1429077676,1491902189,1593077674,1650872929,1678054067
"FOR","FI",5502554,4890006,5005068,5507468,5802959,5860447,5710702,5510350,5771275,6742834,6842589,7055997
"FOR","FR",106993811,98705212,120390105,123227704,125038453,132251136,130908700,130464997,123913410,133499991,140721383,135990097
"FOR","HR",33902735,33357844,33234882,35389002,57079967,59378896,61072661,65683010,72064582,80176804,83139873,84124151
"FOR","HU",10009531,9220148,9358373,9920339,11392183,11982883,12351330,12962395,13802045,14941781,15340449,15752573
"FOR","IE",21535000,17844544,17496163,19032942,11839245,10871806,11276424,13462348,16190381,":",16813507,16285259
"FOR","IS",1894457,2028069,2089527,2384477,2873790,3366252,4404834,5605634,6764038,":",":",7316774
"FOR","IT",161797434,159493866,165202498,176474062,180594988,184793382,186792507,192625026,199421814,210658786,216510546,220662684
"FOR","LI",171425,158414,150336,148955,136276,132491,130202,110465,127747,146892,158728,174095
"FOR","LT",1626829,1395899,1571325,1883003,2680048,2906201,3033826,3010727,3273420,3431233,3736850,4142526
"FOR","LU",2249545,2075831,1717130,2057883,2298068,2313124,2513585,2655733,2637701,2573589,2574556,2504720
"FOR","LV",2115618,1699562,1912336,2257021,2429093,2639434,2875934,2873885,3044532,3406527,3742966,3851303
"FOR","ME",":",":",":",2743414,8143007,":",":",10307371,10528475,3459000,":",":"
"FOR","MK",579549,575117,548640,740532,794564,864125,900148,1020943,1050917,1289111,1483982,1573667
"FOR","MT",7581137,6550794,7208295,7361449,7498421,8172407,8428215,8542055,8622438,9184162,9685156,9436332
"FOR","NL",25267600,25013700,26799800,27739000,27845942,31770508,34423552,37297588,39623541,44169041,47001546,51750379
"FOR","NO",8119045,7500431,7881525,7844241,7940468,7693241,8451333,8851422,9672993,":",":",":"
"FOR","PL",10173237,9609447,10064628,10620264,11876599,12471268,12992241,13757657,15579225,16705215,17742651,18683576
"FOR","PT",28126716,25024678,25386084,27860103,29033970,32078773,35630345,38897329,43959295,48884842,49852324,51592254
"FOR","RO",3359244,2667666,2766581,3066882,3291504,3471152,3762465,4460017,4812050,5267970,5306493,5269053
"FOR","RS",":",":",":",":",1766627,1879208,2074680,2402065,2735528,":",":",":"
"FOR","SE",10920106,11317502,11184995,11344435,11299455,11442690,12260712,13612924,13997265,14638702,15685681,15980234
"FOR","SI",5085308,4656825,4680456,5106452,5702306,5887862,6004623,6529086,7252070,8478019,":",11355675
"FOR","SK",5144831,3707327,3749566,3990300,4039410,4277598,3852147,4384800,5038214,5316945,5558882,6047674
"FOR","TR",":",":",":",":",":",89594261,97581075,96400316,65793316,":",112245139,132808208
"FOR","UK",80393221,79920519,84610527,87993917,105455528,":",":",275650028,279453071,":",":",":"
"NAT","AT",29978727,30608853,31356359,31692337,32382289,32253827,32341680,33060945,34558881,35082222,35935386,36504339
"NAT","BE",13611137,13799364,14128350,14655977,14834795,14936459,15536809,19528328,19792020,20020465,20755601,21308009
"NAT","BG",6391469,5816078,5592004,6229338,6800598,7247048,7620593,8045535,9035330,8948529,9096088,9674945
"NAT","CH",":",":",":",":",":",":",":",":",26414287,":",":",":"
"NAT","CY",1171421,1337006,1352630,1172135,1088446,895939,830943,824517,844182,834104,916840,1012569
"NAT","CZ",19296452,18915299,18542864,18810249,21484472,21163383,20836817,23807391,25428808,26962382,28753901,29844204
"NAT","DE",267636330,260021970,265780765,275939999,282187922,283679063,291722145,299220311,308904957,318051999,332594428,347694001
"NAT","DK",19108832,18192060,18164955,18719949,18432111,18586564,19038780,19637924,20266251,20243007,20685784,21349055
"NAT","EA",1061031079,1005811050,1087402849,1100908509,1083138872,":",1102080632,1142416035,1169763802,1214954108,1245080212,1282991085
"NAT","EE",1669550,1381830,1496959,1650527,1721498,1824707,1890165,2011663,2213547,2358880,2455763,2591410
"NAT","EL",17650614,28568091,25889906,23210439,19512289,20112805,20589198,20900203,22107192,21974593,24064088,23623077
"NAT","ES",151937093,148002725,151514295,150489310,139281970,136764221,144327228,152808273,160400822,165292267,165918083,170722142
"NAT","EU27_2007",1387377818,1340027517,1388322298,1397638081,1447145933,1444962761,1466424152,1516736344,1564400461,1632751297,1676870267,1731902156
